"HPID","MPID","MPterm","HPterm"
"HP:0002383","MP:0001847","brain inflammation","Infectious encephalitis"
"HP:0002385","MP:0009434","paraparesis","Paraparesis"
"HP:0002398","MP:0000938","motor neuron degeneration","Degeneration of anterior horn cells"
"HP:0002408","MP:0010530","cerebral arteriovenous malformation","Cerebral arteriovenous malformation"
"HP:0002410","MP:0002958","cerebral aqueductal stenosis","Aqueductal stenosis"
"HP:0002414","MP:0003054","spina bifida","Spina bifida"
"HP:0002418","MP:0000897","abnormal midbrain morphology","Abnormal midbrain morphology"
"HP:0002435","MP:0012259","meningocele","Meningocele"
"HP:0002446","MP:0003354","astrocytosis","Astrocytosis"
"HP:0002450","MP:0000937","abnormal motor neuron morphology","Abnormal motor neuron morphology"
"HP:0002453","MP:0004081","abnormal globus pallidus morphology","Abnormal globus pallidus morphology"
"HP:0002457","MP:0000436","abnormal head movements","Abnormal head movements"
"HP:0002475","MP:0009929","meningomyelocele","Myelomeningocele"
"HP:0002475","MP:0012547","spina bifida cystica","Myelomeningocele"
"HP:0002487","MP:0000743","muscle spasm","Hyperkinetic movements"
"HP:0002508","MP:0005277","abnormal brainstem morphology","Brainstem dysplasia"
"HP:0002509","MP:0012053","limb hypertonicity","Limb hypertonia"
"HP:0002538","MP:0000788","abnormal cerebral cortex morphology","Abnormal cerebral cortex morphology"
"HP:0002558","MP:0009723","increased nipple number","Supernumerary nipple"
"HP:0002561","MP:0009733","absent nipple","Absent nipple"
"HP:0002570","MP:0002791","steatorrhea","Steatorrhea"
"HP:0002573","MP:0003293","rectal hemorrhage","Hematochezia"
"HP:0002575","MP:0003321","tracheoesophageal fistula","Tracheoesophageal fistula"
"HP:0002576","MP:0003294","intussusception","Intussusception"
"HP:0002577","MP:0000470","abnormal stomach morphology","Abnormal stomach morphology"
"HP:0002578","MP:0009854","impaired gastric peristalsis","Gastroparesis"
"HP:0002583","MP:0002816","colitis","Colitis"
"HP:0002584","MP:0031154","intestinal hemorrhage","Intestinal bleeding"
"HP:0002588","MP:0003273","duodenal ulcer","Duodenal ulcer"
"HP:0002591","MP:0001433","polyphagia","Polyphagia"
"HP:0002592","MP:0003282","gastric ulcer","Gastric ulcer"
"HP:0002594","MP:0009111","pancreas hypoplasia","Pancreatic hypoplasia"
"HP:0002605","MP:0001654","hepatic necrosis","Hepatic necrosis"
"HP:0002607","MP:0003281","fecal incontinence","Bowel incontinence"
"HP:0002613","MP:0003256","biliary cirrhosis","Biliary cirrhosis"
"HP:0002615","MP:0001596","hypotension","Hypotension"
"HP:0002615","MP:0002843","decreased systemic arterial blood pressure","Hypotension"
"HP:0002616","MP:0031344","aortic bulb aneurysm","Aortic root aneurysm"
"HP:0002619","MP:0006136","varicose veins","Varicose veins"
"HP:0002621","MP:0005338","atherosclerotic lesions","Atherosclerosis"
"HP:0002623","MP:0000273","overriding aortic valve","Overriding aorta"
"HP:0002624","MP:0002725","abnormal vein morphology","Abnormal venous morphology"
"HP:0002629","MP:0010531","gastrointestinal arteriovenous malformation","Gastrointestinal arteriovenous malformation"
"HP:0002633","MP:0001864","vascular inflammation","Vasculitis"
"HP:0002634","MP:0003991","arteriosclerosis","Arteriosclerosis"
"HP:0002637","MP:0006080","brain ischemia","Cerebral ischemia"
"HP:0002645","MP:0030030","Wormian bones","Wormian bones"
"HP:0002647","MP:0004044","aortic dissection","Aortic dissection"
"HP:0002648","MP:0000438","abnormal cranium morphology","Abnormality of calvarial morphology"
"HP:0002650","MP:0000161","scoliosis","Scoliosis"
"HP:0002659","MP:0000061","fragile skeleton","Increased susceptibility to fractures"
"HP:0002664","MP:0002006","neoplasm","Neoplasm"
"HP:0002677","MP:0030094","foramen magnum stenosis","Small foramen magnum"
"HP:0002684","MP:0030278","thick neurocranium","Thickened calvaria"
"HP:0002689","MP:0030382","absent paranasal sinus","Absent paranasal sinuses"
"HP:0002692","MP:0030386","facial bone hypoplasia","Hypoplastic facial bones"
"HP:0002696","MP:0000109","abnormal parietal bone morphology","Abnormal parietal bone morphology"
"HP:0002699","MP:0010941","abnormal foramen magnum morphology","Abnormal foramen magnum morphology"
"HP:0002707","MP:0003768","palatal telangiectases","Palate telangiectasia"
"HP:0002714","MP:0003749","down-turned corners of mouth","Downturned corners of mouth"
"HP:0002716","MP:0000702","enlarged lymph nodes","Lymphadenopathy"
"HP:0002716","MP:0008102","lymph node hyperplasia","Lymphadenopathy"
"HP:0002718","MP:0002412","increased susceptibility to bacterial infection","Recurrent bacterial infections"
"HP:0002720","MP:0001807","decreased IgA level","Decreased circulating IgA level"
"HP:0002732","MP:0008101","lymph node hypoplasia","Lymph node hypoplasia"
"HP:0002745","MP:0003751","oral leukoplakia","Oral leukoplakia"
"HP:0002748","MP:0003116","rickets","Rickets"
"HP:0002749","MP:0009445","osteomalacia","Osteomalacia"
"HP:0002751","MP:0000069","kyphoscoliosis","Kyphoscoliosis"
"HP:0002753","MP:0000135","decreased compact bone thickness","Thin bony cortex"
"HP:0002754","MP:0005190","osteomyelitis","Osteomyelitis"
"HP:0002758","MP:0003560","osteoarthritis","Osteoarthritis"
"HP:0002763","MP:0000163","abnormal cartilage morphology","Abnormal cartilage morphology"
"HP:0002766","MP:0004704","short vertebral column","Relatively short spine"
"HP:0002777","MP:0010883","trachea stenosis","Tracheal stenosis"
"HP:0002778","MP:0002282","abnormal trachea morphology","Abnormal tracheal morphology"
"HP:0002779","MP:0013753","tracheomalacia","Tracheomalacia"
"HP:0002780","MP:0031307","bronchomalacia","Bronchomalacia"
"HP:0002786","MP:0031308","tracheobronchomalacia","Tracheobronchomalacia"
"HP:0002789","MP:0005426","tachypnea","Tachypnea"
"HP:0002791","MP:0002321","hypoventilation","Hypoventilation"
"HP:0002795","MP:0001943","abnormal respiration","Abnormal respiratory system physiology"
"HP:0002795","MP:0002133","abnormal respiratory system physiology","Abnormal respiratory system physiology"
"HP:0002797","MP:0004993","decreased bone resorption","Osteolysis"
"HP:0002797","MP:0004992","increased bone resorption","Osteolysis"
"HP:0002808","MP:0000160","kyphosis","Kyphosis"
"HP:0002812","MP:0030790","coxa vara","Coxa vara"
"HP:0002823","MP:0000559","abnormal femur morphology","Abnormality of femur morphology"
"HP:0002827","MP:0030796","hip dislocation","Hip dislocation"
"HP:0002835","MP:0002296","aspiration","Aspiration"
"HP:0002836","MP:0013282","urinary bladder exstrophy","Bladder exstrophy"
"HP:0002840","MP:0003865","lymph node inflammation","Lymphadenitis"
"HP:0002843","MP:0008037","abnormal T cell morphology","Abnormal T cell morphology"
"HP:0002846","MP:0004939","abnormal B cell morphology","Abnormal B cell morphology"
"HP:0002849","MP:0008523","absent lymph node germinal center","Absence of lymph node germinal center"
"HP:0002850","MP:0001806","decreased IgM level","Decreased circulating total IgM"
"HP:0002859","MP:0002036","increased rhabdomyosarcoma incidence","Rhabdomyosarcoma"
"HP:0002878","MP:0001953","respiratory failure","Respiratory failure"
"HP:0002883","MP:0002320","hyperventilation","Hyperventilation"
"HP:0002894","MP:0009153","increased pancreas tumor incidence","Neoplasm of the pancreas"
"HP:0002900","MP:0005628","decreased circulating potassium level","Hypokalemia"
"HP:0002900","MP:0004119","hypokalemia","Hypokalemia"
"HP:0002901","MP:0000195","decreased circulating calcium level","Hypocalcemia"
"HP:0002902","MP:0005634","decreased circulating sodium level","Hyponatremia"
"HP:0002904","MP:0005344","increased circulating bilirubin level","Hyperbilirubinemia"
"HP:0002905","MP:0001566","increased circulating phosphate level","Hyperphosphatemia"
"HP:0002910","MP:0000609","abnormal liver physiology","Elevated hepatic transaminase"
"HP:0002912","MP:0030630","increased circulating methylmalonic acid level","Methylmalonic acidemia"
"HP:0002913","MP:0006034","myoglobinuria","Myoglobinuria"
"HP:0002914","MP:0011459","increased urine chloride ion level","Hyperchloriduria"
"HP:0002917","MP:0010093","decreased circulating magnesium level","Hypomagnesemia"
"HP:0002918","MP:0010092","increased circulating magnesium level","Hypermagnesemia"
"HP:0002919","MP:0002893","ketoaciduria","Ketonuria"
"HP:0002920","MP:0002664","decreased circulating adrenocorticotropin level","Decreased circulating ACTH level"
"HP:0002925","MP:0005135","increased thyroid-stimulating hormone level","Elevated circulating thyroid-stimulating hormone concentration"
"HP:0002926","MP:0002876","abnormal thyroid gland physiology","Abnormality of thyroid physiology"
"HP:0002927","MP:0011654","histidinuria","Histidinuria"
"HP:0002937","MP:0008832","hemivertebra","Hemivertebrae"
"HP:0002946","MP:0004644","increased vertebrae number","Supernumerary vertebrae"
"HP:0002948","MP:0004609","vertebral fusion","Vertebral fusion"
"HP:0002948","MP:0004612","fusion of vertebral bodies","Vertebral fusion"
"HP:0002949","MP:0004620","cervical vertebral fusion","Fused cervical vertebrae"
"HP:0002953","MP:0004626","vertebral compression","Vertebral compression fracture"
"HP:0002980","MP:0004371","bowed femur","Femoral bowing"
"HP:0002982","MP:0004358","bowed tibia","Tibial bowing"
"HP:0002983","MP:0008736","micromelia","Micromelia"
"HP:0002984","MP:0004356","radius hypoplasia","Hypoplasia of the radius"
"HP:0002984","MP:0004355","short radius","Hypoplasia of the radius"
"HP:0002986","MP:0004374","bowed radius","Radial bowing"
"HP:0002990","MP:0005430","absent fibula","Fibular aplasia"
"HP:0002991","MP:0002187","abnormal fibula morphology","Abnormality of fibula morphology"
"HP:0002992","MP:0000558","abnormal tibia morphology","Abnormality of tibia morphology"
"HP:0002999","MP:0030860","patellar dislocation","Patellar dislocation"
"HP:0003010","MP:0005606","increased bleeding time","Prolonged bleeding time"
"HP:0003022","MP:0004359","short ulna","Hypoplasia of the ulna"
"HP:0003026","MP:0004686","decreased length of long bones","Short long bone"
"HP:0003031","MP:0004361","bowed ulna","Ulnar bowing"
"HP:0003038","MP:0002765","short fibula","Fibular hypoplasia"
"HP:0003042","MP:0030843","elbow dislocation","Elbow dislocation"
"HP:0003045","MP:0005353","abnormal patella morphology","Abnormal patella morphology"
"HP:0003072","MP:0000194","increased circulating calcium level","Hypercalcemia"
"HP:0003073","MP:0005419","decreased circulating serum albumin level","Hypoalbuminemia"
"HP:0003074","MP:0001559","hyperglycemia","Hyperglycemia"
"HP:0003075","MP:0005567","decreased circulating total protein level","Hypoproteinemia"
"HP:0003076","MP:0001759","increased urine glucose level","Glycosuria"
"HP:0003077","MP:0001548","hyperlipidemia","Hyperlipidemia"
"HP:0003080","MP:0030682","hydroxyprolinuria","Hydroxyprolinuria"
"HP:0003081","MP:0005619","increased urine potassium level","Increased urinary potassium"
"HP:0003083","MP:0030883","dislocated radius head","Dislocated radial head"
"HP:0003085","MP:0000482","long fibula","Long fibula"
"HP:0003097","MP:0003109","short femur","Short femur"
"HP:0003100","MP:0008150","decreased diameter of long bones","Slender long bone"
"HP:0003103","MP:0003797","abnormal compact bone morphology","Abnormal cortical bone morphology"
"HP:0003107","MP:0005278","abnormal cholesterol homeostasis","Abnormal circulating cholesterol concentration"
"HP:0003107","MP:0003191","abnormal cellular cholesterol metabolism","Abnormal circulating cholesterol concentration"
"HP:0003108","MP:0030616","hyperglycinuria","Hyperglycinuria"
"HP:0003109","MP:0002902","decreased urine phosphate level","Hyperphosphaturia"
"HP:0003109","MP:0002901","increased urine phosphate level","Hyperphosphaturia"
"HP:0003112","MP:0005311","abnormal circulating amino acid level","Abnormal circulating amino acid concentration"
"HP:0003113","MP:0003020","decreased circulating chloride level","Hypochloremia"
"HP:0003115","MP:0010508","abnormal heart electrocardiography waveform feature","Abnormal EKG"
"HP:0003117","MP:0005418","abnormal circulating hormone level","Abnormal circulating hormone concentration"
"HP:0003118","MP:0014161","increased circulating cortisol level","Increased circulating cortisol level"
"HP:0003124","MP:0005178","increased circulating cholesterol level","Hypercholesterolemia"
"HP:0003127","MP:0002986","decreased urine calcium level","Hypocalciuria"
"HP:0003128","MP:0012552","lactic acidosis","Lactic acidosis"
"HP:0003131","MP:0020400","cystinuria","Cystinuria"
"HP:0003137","MP:0020404","prolinuria","Prolinuria"
"HP:0003138","MP:0005565","increased blood urea nitrogen level","Increased blood urea nitrogen"
"HP:0003141","MP:0000182","increased circulating LDL cholesterol level","Increased LDL cholesterol concentration"
"HP:0003146","MP:0005179","decreased circulating cholesterol level","Hypocholesterolemia"
"HP:0003149","MP:0009810","increased urine uric acid level","Hyperuricosuria"
"HP:0003150","MP:0002931","glutaricadicuria","Glutaric aciduria"
"HP:0003153","MP:0030689","cystathioninuria","Cystathioninuria"
"HP:0003154","MP:0001748","increased circulating adrenocorticotropin level","Increased circulating ACTH level"
"HP:0003159","MP:0011517","hyperoxaluria","Hyperoxaluria"
"HP:0003166","MP:0020405","taurinuria","Increased urinary taurine"
"HP:0003170","MP:0030830","abnormal acetabulum morphology","Abnormal acetabulum morphology"
"HP:0003173","MP:0004693","pubis hypoplasia","Hypoplastic pubic bone"
"HP:0003175","MP:0004690","ischium hypoplasia","Hypoplastic ischia"
"HP:0003187","MP:0003344","mammary gland hypoplasia","Breast hypoplasia"
"HP:0003194","MP:0004471","short nasal bone","Short nasal bridge"
"HP:0003194","MP:0030036","short nasal bridge","Short nasal bridge"
"HP:0003198","MP:0000751","myopathy","Myopathy"
"HP:0003199","MP:0004232","decreased muscle weight","Decreased muscle mass"
"HP:0003201","MP:0031112","rhabdomyolysis","Rhabdomyolysis"
"HP:0003202","MP:0002269","muscular atrophy","Skeletal muscle atrophy"
"HP:0003202","MP:0009417","skeletal muscle atrophy","Skeletal muscle atrophy"
"HP:0003202","MP:0000749","muscle degeneration","Skeletal muscle atrophy"
"HP:0003207","MP:0006133","calcified artery","Arterial calcification"
"HP:0003212","MP:0002497","increased IgE level","Increased circulating IgE level"
"HP:0003215","MP:0030613","dicarboxylic aciduria","Dicarboxylic aciduria"
"HP:0003217","MP:0030709","increased circulating glutamine level","Hyperglutaminemia"
"HP:0003218","MP:0011765","oroticaciduria","Oroticaciduria"
"HP:0003219","MP:0030615","ethylmalonic aciduria","Ethylmalonic aciduria"
"HP:0003228","MP:0005633","increased circulating sodium level","Hypernatremia"
"HP:0003231","MP:0013723","increased circulating tyrosine level","Hypertyrosinemia"
"HP:0003233","MP:0000186","decreased circulating HDL cholesterol level","Decreased HDL cholesterol concentration"
"HP:0003234","MP:0003978","decreased circulating carnitine level","Decreased plasma carnitine"
"HP:0003235","MP:0030644","increased circulating methionine level","Hypermethioninemia"
"HP:0003236","MP:0010090","increased circulating creatine kinase level","Elevated circulating creatine kinase concentration"
"HP:0003237","MP:0002493","increased IgG level","Increased circulating IgG level"
"HP:0003250","MP:0003535","absent vagina","Aplasia of the vagina"
"HP:0003251","MP:0001925","male infertility","Male infertility"
"HP:0003260","MP:0030681","increased circulating hydroxyproline level","Hydroxyprolinemia"
"HP:0003261","MP:0002495","increased IgA level","Increased circulating IgA level"
"HP:0003268","MP:0020401","argininuria","Argininuria"
"HP:0003270","MP:0009247","meteorism","Abdominal distention"
"HP:0003270","MP:0001270","distended abdomen","Abdominal distention"
"HP:0003271","MP:0013328","visceromegaly","Visceromegaly"
"HP:0003281","MP:0011890","increased circulating ferritin level","Increased circulating ferritin concentration"
"HP:0003286","MP:0030687","increased circulating cystathionine level","Cystathioninemia"
"HP:0003292","MP:0005668","decreased circulating leptin level","Decreased serum leptin"
"HP:0003296","MP:0020406","hyperthreoninuria","Hyperthreoninuria"
"HP:0003297","MP:0020403","lysinuria","Hyperlysinuria"
"HP:0003298","MP:0005297","spina bifida occulta","Spina bifida occulta"
"HP:0003302","MP:0031313","spondylolisthesis","Spondylolisthesis"
"HP:0003304","MP:0031312","spondylolysis","Spondylolysis"
"HP:0003307","MP:0000162","lordosis","Hyperlordosis"
"HP:0003323","MP:0000748","progressive muscle weakness","Progressive muscle weakness"
"HP:0003330","MP:0003795","abnormal bone structure","Abnormal bone structure"
"HP:0003345","MP:0030772","increased urine noradrenaline level","Elevated urinary norepinephrine"
"HP:0003348","MP:0030673","increased circulating alanine level","Hyperalaninemia"
"HP:0003351","MP:0003353","decreased circulating renin level","Decreased circulating renin level"
"HP:0003354","MP:0030703","increased circulating threonine level","Hyperthreoninemia"
"HP:0003355","MP:0003311","aminoaciduria","Aminoaciduria"
"HP:0003361","MP:0030618","tryptophanuria","Tryptophanuria"
"HP:0003362","MP:0005145","increased circulating VLDL cholesterol level","Increased VLDL cholesterol concentration"
"HP:0003363","MP:0002766","situs inversus","Abdominal situs inversus"
"HP:0003363","MP:0011249","abdominal situs inversus","Abdominal situs inversus"
"HP:0003367","MP:0030789","abnormal femur neck morphology","Abnormal femoral neck morphology"
"HP:0003368","MP:0030788","abnormal femur head morphology","Abnormal femoral head morphology"
"HP:0003394","MP:0000743","muscle spasm","Muscle spasm"
"HP:0003396","MP:0012545","syringomyelia","Syringomyelia"
"HP:0003470","MP:0000753","paralysis","Paralysis"
"HP:0003496","MP:0002494","increased IgM level","Increased circulating IgM level"
"HP:0003527","MP:0011563","increased urine prostaglandin level","Hyperprostaglandinuria"
"HP:0003532","MP:0020402","ornithinuria","Ornithinuria"
"HP:0003537","MP:0008822","decreased blood uric acid level","Hypouricemia"
"HP:0003540","MP:0009549","decreased platelet aggregation","Impaired platelet aggregation"
"HP:0003541","MP:0011473","increased urine glycosaminoglycan level","Urinary glycosaminoglycan excretion"
"HP:0003563","MP:0000183","decreased circulating LDL cholesterol level","Decreased LDL cholesterol concentration"
"HP:0003565","MP:0031063","increased erythrocyte sedimentation rate","Elevated erythrocyte sedimentation rate"
"HP:0003572","MP:0020837","decreased circulating citrulline level","Low plasma citrulline"
"HP:0003639","MP:0030770","increased urine adrenaline level","Elevated urinary epinephrine"
"HP:0003641","MP:0000315","hemoglobinuria","Hemoglobinuria"
"HP:0003645","MP:0012359","increased partial thromboplastin time","Prolonged partial thromboplastin time"
"HP:0003645","MP:0012357","abnormal partial thromboplastin time","Prolonged partial thromboplastin time"
"HP:0003646","MP:0011462","increased urine bicarbonate level","Bicarbonaturia"
"HP:0003658","MP:0030645","decreased circulating methionine level","Hypomethioninemia"
"HP:0003687","MP:0009404","centrally nucleated skeletal muscle fibers","Centrally nucleated skeletal muscle fibers"
"HP:0003712","MP:0009461","skeletal muscle hypertrophy","Skeletal muscle hypertrophy"
"HP:0003750","MP:0003646","increased muscle fatigability","Increased muscle fatiguability"
"HP:0003758","MP:0008844","decreased subcutaneous adipose tissue amount","Reduced subcutaneous adipose tissue"
"HP:0003761","MP:0003195","calcinosis","Calcinosis"
"HP:0003765","MP:0001193","psoriasis","Psoriasiform dermatitis"
"HP:0003771","MP:0030491","dental pulp stones","Pulp calcification"
"HP:0003781","MP:0000622","increased salivation","Excessive salivation"
"HP:0003808","MP:0004142","abnormal muscle tone","Abnormal muscle tone"
"HP:0003862","MP:0004352","absent humerus","Absent humerus"
"HP:0003865","MP:0004373","bowed humerus","Bowed humerus"
"HP:0003974","MP:0000553","absent radius","Absent radius"
"HP:0003982","MP:0004360","absent ulna","Aplasia of the ulna"
"HP:0003988","MP:0004370","long ulna","Long ulna"
"HP:0003994","MP:0030864","wrist dislocation","Dislocated wrist"
"HP:0004099","MP:0013149","macrodactyly","Macrodactyly"
"HP:0004231","MP:0000555","absent carpal bone","Carpal bone aplasia"
"HP:0004295","MP:0010792","abnormal stomach mucosa morphology","Abnormal gastric mucosa morphology"
"HP:0004299","MP:0000757","herniated abdominal wall","Hernia of the abdominal wall"
"HP:0004303","MP:0004087","abnormal muscle fiber morphology","Abnormal muscle fiber morphology"
"HP:0004303","MP:0003084","abnormal skeletal muscle fiber morphology","Abnormal muscle fiber morphology"
"HP:0004306","MP:0003974","abnormal endocardium morphology","Abnormal endocardium morphology"
"HP:0004311","MP:0002446","abnormal macrophage morphology","Abnormal macrophage morphology"
"HP:0004312","MP:0002424","abnormal reticulocyte morphology","Abnormal reticulocyte morphology"
"HP:0004313","MP:0002460","decreased immunoglobulin level","Decreased circulating antibody level"
"HP:0004313","MP:0001805","decreased IgG level","Decreased circulating antibody level"
"HP:0004315","MP:0001805","decreased IgG level","Decreased circulating IgG level"
"HP:0004319","MP:0002667","decreased circulating aldosterone level","Decreased circulating aldosterone level"
"HP:0004322","MP:0001255","decreased body height","Short stature"
"HP:0004323","MP:0001259","abnormal body weight","Abnormality of body weight"
"HP:0004324","MP:0001260","increased body weight","Increased body weight"
"HP:0004325","MP:0001262","decreased body weight","Decreased body weight"
"HP:0004326","MP:0005150","cachexia","Cachexia"
"HP:0004328","MP:0005193","abnormal anterior eye segment morphology","Abnormal anterior eye segment morphology"
"HP:0004329","MP:0005195","abnormal posterior eye segment morphology","Abnormal posterior eye segment morphology"
"HP:0004332","MP:0002619","abnormal lymphocyte morphology","Abnormal lymphocyte morphology"
"HP:0004334","MP:0030584","skin atrophy","Dermal atrophy"
"HP:0004336","MP:0012674","tomacula","Myelin outfoldings"
"HP:0004348","MP:0010119","abnormal bone mineral density","Abnormality of bone mineral density"
"HP:0004349","MP:0000063","decreased bone mineral density","Reduced bone mineral density"
"HP:0004356","MP:0003172","abnormal lysosome physiology","Abnormality of lysosomal metabolism"
"HP:0004361","MP:0005667","abnormal circulating leptin level","Abnormality of circulating leptin level"
"HP:0004362","MP:0001045","abnormal enteric ganglia morphology","Abnormality of enteric ganglion morphology"
"HP:0004380","MP:0006116","calcified aortic valve","Aortic valve calcification"
"HP:0004381","MP:0010471","supravalvar aortic stenosis","Supravalvular aortic stenosis"
"HP:0004382","MP:0006121","calcified mitral valve","Mitral valve calcification"
"HP:0004383","MP:0010446","heart left ventricle hypoplasia","Hypoplastic left heart"
"HP:0004384","MP:0011661","persistent truncus arteriosus type i","Type I truncus arteriosus"
"HP:0004388","MP:0003296","microcolon","Microcolon"
"HP:0004398","MP:0003301","peptic ulcer","Peptic ulcer"
"HP:0004398","MP:0003300","gastrointestinal ulcer","Peptic ulcer"
"HP:0004401","MP:0014036","meconium ileus","Meconium ileus"
"HP:0004404","MP:0006078","abnormal nipple morphology","Abnormal nipple morphology"
"HP:0004409","MP:0008544","impaired olfaction","Hyposmia"
"HP:0004411","MP:0030199","deviated nasal septum","Deviated nasal septum"
"HP:0004415","MP:0010457","pulmonary artery stenosis","Pulmonary artery stenosis"
"HP:0004425","MP:0030047","flat forehead","Flat forehead"
"HP:0004429","MP:0002418","increased susceptibility to viral infection","Recurrent viral infections"
"HP:0004440","MP:0030350","premature coronal suture closure","Coronal craniosynostosis"
"HP:0004442","MP:0030354","premature sagittal suture closure","Sagittal craniosynostosis"
"HP:0004443","MP:0030356","premature lambdoid suture closure","Lambdoidal craniosynostosis"
"HP:0004444","MP:0002812","spherocytosis","Spherocytosis"
"HP:0004445","MP:0009547","elliptocytosis","Elliptocytosis"
"HP:0004446","MP:0010074","stomatocytosis","Stomatocytosis"
"HP:0004447","MP:0002643","poikilocytosis","Poikilocytosis"
"HP:0004467","MP:0030097","preauricular pit","Preauricular pit"
"HP:0004472","MP:0030223","mandibular hyperostosis","Mandibular hyperostosis"
"HP:0004484","MP:0008863","craniofacial asymmetry","Craniofacial asymmetry"
"HP:0004491","MP:0030387","large posterior fontanelle","Large posterior fontanelle"
"HP:0004493","MP:0030417","craniofacial hyperostosis","Craniofacial hyperostosis"
"HP:0004510","MP:0009171","enlarged pancreatic islets","Pancreatic islet-cell hyperplasia"
"HP:0004646","MP:0000103","nasal bone hypoplasia","Hypoplasia of the nasal bone"
"HP:0004727","MP:0013305","isosthenuria","Impaired renal concentrating ability"
"HP:0004756","MP:0008950","ventricular tachycardia","Ventricular tachycardia"
"HP:0004762","MP:0010422","heart right ventricle hypoplasia","Hypoplasia of right ventricle"
"HP:0004783","MP:0008012","duodenum polyps","Duodenal polyposis"
"HP:0004791","MP:0004547","esophageal ulcer","Esophageal ulceration"
"HP:0004792","MP:0003318","rectoperineal fistula","Rectoperineal fistula"
"HP:0004823","MP:0002641","anisopoikilocytosis","Anisopoikilocytosis"
"HP:0004840","MP:0008388","hypochromic microcytic anemia","Hypochromic microcytic anemia"
"HP:0004857","MP:0008945","hyperchromic macrocytic anemia","Hyperchromic macrocytic anemia"
"HP:0004871","MP:0003316","perineal fistula","Perineal fistula"
"HP:0004890","MP:0004012","increased pulmonary artery pressure","Elevated pulmonary artery pressure"
"HP:0004923","MP:0030670","increased circulating phenylalanine level","Hyperphenylalaninemia"
"HP:0004935","MP:0006130","pulmonary valve atresia","Pulmonary artery atresia"
"HP:0004935","MP:0010521","absent pulmonary artery","Pulmonary artery atresia"
"HP:0004937","MP:0010462","pulmonary artery aneurysm","Pulmonary artery aneurysm"
"HP:0004942","MP:0006278","aortic aneurysm","Aortic aneurysm"
"HP:0004947","MP:0006093","arteriovenous malformation","Arteriovenous fistula"
"HP:0004959","MP:0010660","descending thoracic aorta aneurysm","Descending thoracic aorta aneurysm"
"HP:0004960","MP:0010521","absent pulmonary artery","Absent pulmonary artery"
"HP:0004961","MP:0010467","pulmonary artery sling","Pulmonary artery sling"
"HP:0004962","MP:0010523","calcified thoracic aorta","Thoracic aorta calcification"
"HP:0004963","MP:0010522","calcified aorta","Calcification of the aorta"
"HP:0004964","MP:0031193","pulmonary arterial medial hypertrophy","Pulmonary arterial medial hypertrophy"
"HP:0004971","MP:0010460","pulmonary artery hypoplasia","Pulmonary artery hypoplasia"
"HP:0004974","MP:0010525","abdominal aorta coarctation","Coarctation of abdominal aorta"
"HP:0005102","MP:0000032","cochlear degeneration","Cochlear degeneration"
"HP:0005103","MP:0003737","ossification of pinnae","Calcification of the auricular cartilage"
"HP:0005104","MP:0030197","small nasal septum","Hypoplastic nasal septum"
"HP:0005104","MP:0030198","nasal septum hypoplasia","Hypoplastic nasal septum"
"HP:0005105","MP:0002233","abnormal nose morphology","Abnormal nasal morphology"
"HP:0005107","MP:0010113","abnormal sacrum morphology","Abnormal sacrum morphology"
"HP:0005108","MP:0004173","abnormal intervertebral disk morphology","Abnormal intervertebral disk morphology"
"HP:0005110","MP:0008543","atrial fibrillation","Atrial fibrillation"
"HP:0005120","MP:0003105","abnormal heart atrium morphology","Abnormal cardiac atrium morphology"
"HP:0005133","MP:0002754","dilated heart right ventricle","Right ventricular dilatation"
"HP:0005145","MP:0003024","coronary artery stenosis","Coronary artery stenosis"
"HP:0005156","MP:0010647","left atrium hypoplasia","Hypoplastic left atrium"
"HP:0005160","MP:0010441","total anomalous pulmonary venous connection","Total anomalous pulmonary venous return"
"HP:0005164","MP:0002748","abnormal pulmonary valve morphology","Dysplastic pulmonary valve"
"HP:0005165","MP:0010511","shortened PR interval","Shortened PR interval"
"HP:0005180","MP:0006044","tricuspid valve regurgitation","Tricuspid regurgitation"
"HP:0005182","MP:0010527","bicuspid pulmonary valve","Bicuspid pulmonary valve"
"HP:0005207","MP:0003285","gastric hypertrophy","Gastric hypertrophy"
"HP:0005213","MP:0014108","calcified pancreas","Pancreatic calcification"
"HP:0005214","MP:0003270","intestinal obstruction","Intestinal obstruction"
"HP:0005218","MP:0003317","anoperineal fistula","Anoperineal fistula"
"HP:0005222","MP:0003262","intestinal/bowel diverticulum","Bowel diverticulosis"
"HP:0005224","MP:0003302","perirectal abscess","Rectal abscess"
"HP:0005225","MP:0003288","intestinal edema","Intestinal edema"
"HP:0005232","MP:0001944","abnormal pancreas morphology","Pancreatic dysplasia"
"HP:0005235","MP:0011878","jejunum atresia","Jejunal atresia"
"HP:0005237","MP:0003103","liver degeneration","Degenerative liver disease"
"HP:0005261","MP:0005245","hemarthrosis","Joint hemorrhage"
"HP:0005263","MP:0001873","stomach inflammation","Gastritis"
"HP:0005265","MP:0004002","abnormal jejunum morphology","Abnormal jejunum morphology"
"HP:0005268","MP:0013172","miscarriage","Miscarriage"
"HP:0005273","MP:0030201","absent nasal septum cartilage","Absent nasal septal cartilage"
"HP:0005273","MP:0004872","absent nasal septum","Absent nasal septal cartilage"
"HP:0005280","MP:0030034","depressed nasal bridge","Depressed nasal bridge"
